model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
llama31_it,"avg(42,43,44)",averaged,ALL,3200.0,52.65,49.54,-3.12,40.25,41.32,39.08,-0.57,
llama31_it,"avg(42,43,44)",averaged,all_correct_absent,500.0,52.44,51.47,-0.98,46.44,45.43,47.69,-0.43,
llama31_it,"avg(42,43,44)",averaged,all_correct_present,500.0,52.44,53.36,0.91,48.64,45.72,52.03,-0.36,
llama31_it,"avg(42,43,44)",averaged,all_wrong_absent,500.0,52.44,47.91,-4.53,43.42,45.84,40.64,-0.86,
llama31_it,"avg(42,43,44)",averaged,all_wrong_present,500.0,52.44,46.89,-5.56,44.04,47.4,40.22,-0.81,
llama31_it,"avg(42,43,44)",averaged,mixed_absent,500.0,52.44,48.33,-4.11,43.84,45.89,41.57,-0.29,
llama31_it,"avg(42,43,44)",averaged,mixed_present,500.0,52.44,47.96,-4.49,46.04,48.36,43.5,-0.29,
llama31_it,"avg(42,43,44)",averaged,rq2a_commit0,500.0,53.0,52.67,-0.33,34.2,32.58,36.03,-1.23,
llama31_it,"avg(42,43,44)",averaged,rq2a_commit2,500.0,53.0,49.8,-3.2,31.2,32.45,29.79,-0.57,
llama31_it,"avg(42,43,44)",averaged,rq2a_commit4,500.0,53.0,49.33,-3.67,30.87,32.58,28.94,-0.74,
llama31_it,"avg(42,43,44)",averaged,rq2a_commit6,500.0,53.0,48.4,-4.6,31.93,34.47,29.08,-0.54,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth1_correct,500.0,52.93,45.8,-7.13,30.73,35.77,25.07,-1.18,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth1_wrong,500.0,52.93,54.53,1.6,35.47,31.99,39.38,-0.84,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth2_correct,500.0,52.93,46.53,-6.4,31.07,35.39,26.2,-0.97,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth2_wrong,500.0,52.93,50.8,-2.13,33.2,33.37,33.0,-0.73,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth3_correct,500.0,52.93,52.53,-0.4,33.07,31.61,34.7,-0.49,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth3_wrong,500.0,52.93,45.6,-7.33,31.33,36.52,25.5,-0.53,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth4_correct,500.0,52.93,56.67,3.73,36.8,31.23,43.06,-0.16,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth4_wrong,500.0,52.93,44.4,-8.53,31.73,38.04,24.65,-0.31,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth5_correct,500.0,52.93,54.73,1.8,35.27,31.61,39.37,-0.09,
llama31_it,"avg(42,43,44)",averaged,rq2b_auth5_wrong,500.0,52.93,45.13,-7.8,31.4,37.03,25.07,-0.3,
