model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
mistral_it,"avg(42,43,44)",averaged,ALL,3181.33,55.25,52.4,-2.85,15.76,16.41,14.8,-0.09,
mistral_it,"avg(42,43,44)",averaged,all_correct_absent,498.78,56.16,58.19,2.02,24.44,19.64,30.52,-0.3,
mistral_it,"avg(42,43,44)",averaged,all_correct_present,498.22,56.0,59.3,3.3,28.5,22.19,36.53,-0.25,
mistral_it,"avg(42,43,44)",averaged,all_wrong_absent,497.56,56.21,42.88,-13.33,28.92,37.35,17.89,-0.19,
mistral_it,"avg(42,43,44)",averaged,all_wrong_present,498.22,56.2,43.66,-12.54,30.42,37.9,20.51,-0.17,
mistral_it,"avg(42,43,44)",averaged,mixed_absent,498.89,56.11,53.29,-2.81,7.98,8.97,6.39,0.05,
mistral_it,"avg(42,43,44)",averaged,mixed_present,497.44,56.13,52.65,-3.48,12.94,13.92,11.31,0.14,
mistral_it,"avg(42,43,44)",averaged,rq2a_commit0,500.0,53.73,53.73,0.0,0.4,0.37,0.43,-0.36,
mistral_it,"avg(42,43,44)",averaged,rq2a_commit2,499.0,53.84,53.44,-0.4,2.0,2.23,1.74,-0.2,
mistral_it,"avg(42,43,44)",averaged,rq2a_commit4,499.33,53.67,53.47,-0.2,1.8,1.87,1.73,-0.06,
mistral_it,"avg(42,43,44)",averaged,rq2a_commit6,499.33,53.74,53.94,0.2,1.0,0.74,1.3,-0.04,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth1_correct,499.67,53.84,60.04,6.2,10.61,4.09,18.21,0.14,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth1_wrong,498.33,53.85,47.16,-6.69,10.7,16.15,4.35,0.14,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth2_correct,497.0,53.85,59.42,5.56,7.17,1.5,13.81,0.06,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth2_wrong,497.33,53.75,46.78,-6.97,8.18,14.09,1.3,0.06,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth3_correct,493.0,54.49,59.63,5.14,7.44,2.11,13.82,0.08,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth3_wrong,492.33,53.89,48.75,-5.14,7.99,12.19,3.08,0.03,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth4_correct,489.0,54.94,59.03,4.09,9.41,4.84,14.98,0.17,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth4_wrong,490.67,53.94,48.03,-5.91,11.62,16.25,6.19,0.06,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth5_correct,493.67,54.22,59.22,5.0,17.29,11.33,24.34,-0.09,
mistral_it,"avg(42,43,44)",averaged,rq2b_auth5_wrong,490.67,54.08,45.38,-8.7,18.88,25.5,11.09,-0.12,
