model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
phi35_it,"avg(42,43,44)",averaged,ALL,3196.0,50.64,50.54,-0.1,11.93,11.88,12.0,-0.0,
phi35_it,"avg(42,43,44)",averaged,all_correct_absent,498.89,50.92,64.23,13.31,13.98,0.64,27.73,0.01,
phi35_it,"avg(42,43,44)",averaged,all_correct_present,498.67,50.92,75.84,24.92,25.15,0.21,50.66,0.01,
phi35_it,"avg(42,43,44)",averaged,all_wrong_absent,498.89,50.92,35.23,-15.69,16.1,31.33,0.42,0.01,
phi35_it,"avg(42,43,44)",averaged,all_wrong_present,499.0,50.95,27.12,-23.83,23.87,47.14,0.05,0.0,
phi35_it,"avg(42,43,44)",averaged,mixed_absent,498.89,50.94,50.52,-0.42,4.44,4.71,4.19,-0.02,
phi35_it,"avg(42,43,44)",averaged,mixed_present,499.0,50.95,52.26,1.31,8.94,7.42,10.51,-0.03,
phi35_it,"avg(42,43,44)",averaged,rq2a_commit0,500.0,50.2,50.2,0.0,0.0,0.0,0.0,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2a_commit2,500.0,50.2,49.8,-0.4,1.2,1.59,0.8,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2a_commit4,500.0,50.2,50.4,0.2,3.0,2.79,3.21,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2a_commit6,500.0,50.2,49.8,-0.4,2.0,2.39,1.61,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth1_correct,500.0,50.2,44.87,-5.33,8.13,13.41,2.81,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth1_wrong,500.0,50.2,55.87,5.67,7.27,1.59,12.98,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth2_correct,500.0,50.2,49.8,-0.4,8.53,8.89,8.16,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth2_wrong,500.0,50.2,51.2,1.0,7.0,5.98,8.03,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth3_correct,500.0,50.2,55.4,5.2,9.6,4.38,14.86,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth3_wrong,500.0,50.2,46.0,-4.2,13.0,17.13,8.84,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth4_correct,500.0,50.2,59.73,9.53,11.13,1.59,20.75,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth4_wrong,500.0,50.2,40.33,-9.87,12.4,22.18,2.54,0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth5_correct,500.0,50.2,68.53,18.33,19.93,1.59,38.42,-0.0,
phi35_it,"avg(42,43,44)",averaged,rq2b_auth5_wrong,500.0,50.2,28.8,-21.4,21.8,43.03,0.4,0.0,
