model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
qwen25_it,"avg(42,43,44)",averaged,ALL,3187.27,56.34,51.06,-5.27,39.38,39.52,39.15,0.65,
qwen25_it,"avg(42,43,44)",averaged,all_correct_absent,496.56,56.06,88.82,32.76,42.12,8.29,85.69,0.59,
qwen25_it,"avg(42,43,44)",averaged,all_correct_present,497.0,56.08,93.69,37.61,41.67,3.62,90.64,0.72,
qwen25_it,"avg(42,43,44)",averaged,all_wrong_absent,497.44,56.03,13.11,-42.92,49.38,81.91,7.43,0.53,
qwen25_it,"avg(42,43,44)",averaged,all_wrong_present,496.67,56.03,9.45,-46.58,50.96,86.7,5.01,0.65,
qwen25_it,"avg(42,43,44)",averaged,mixed_absent,495.89,56.05,51.86,-4.18,33.34,33.28,33.36,0.58,
qwen25_it,"avg(42,43,44)",averaged,mixed_present,495.22,56.03,49.46,-6.57,33.6,35.65,30.84,0.57,
qwen25_it,"avg(42,43,44)",averaged,rq2a_commit0,500.0,56.73,52.53,-4.2,14.6,16.57,12.02,0.24,
qwen25_it,"avg(42,43,44)",averaged,rq2a_commit2,500.0,56.73,50.07,-6.67,29.6,31.96,26.5,0.73,
qwen25_it,"avg(42,43,44)",averaged,rq2a_commit4,500.0,56.73,53.47,-3.27,27.93,27.5,28.5,0.76,
qwen25_it,"avg(42,43,44)",averaged,rq2a_commit6,500.0,56.73,51.0,-5.73,38.13,38.66,37.44,0.84,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth1_correct,500.0,56.8,45.33,-11.47,46.67,51.18,40.74,0.77,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth1_wrong,500.0,56.8,54.73,-2.07,48.07,44.13,53.24,0.8,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth2_correct,500.0,56.8,57.53,0.73,39.53,34.15,46.6,0.77,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth2_wrong,500.0,56.8,42.87,-13.93,41.27,48.59,31.64,0.78,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth3_correct,500.0,56.8,69.8,13.0,35.4,19.72,56.02,0.8,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth3_wrong,500.0,56.8,33.2,-23.6,42.4,58.1,21.76,0.78,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth4_correct,500.0,56.8,78.4,21.6,38.0,14.44,68.98,0.79,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth4_wrong,500.0,56.8,22.6,-34.2,46.6,71.13,14.35,0.78,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth5_correct,500.0,56.8,80.07,23.27,44.33,18.54,78.24,0.84,
qwen25_it,"avg(42,43,44)",averaged,rq2b_auth5_wrong,500.0,56.8,19.0,-37.8,55.4,82.04,20.37,0.77,
