model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth1_correct,500,53.4,48.8,-4.6,29.0,31.46,26.18,-1.304,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth1_wrong,500,53.4,56.2,2.8,32.0,27.34,37.34,-1.04,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth2_correct,500,53.4,50.0,-3.4,29.0,30.34,27.47,-0.966,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth2_wrong,500,53.4,53.8,0.4,30.4,28.09,33.05,-0.944,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth3_correct,500,53.4,53.4,0.0,31.2,29.21,33.48,-0.706,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth3_wrong,500,53.4,50.2,-3.2,28.4,29.59,27.04,-0.642,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth4_correct,500,53.4,57.6,4.2,32.6,26.59,39.48,-0.402,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth4_wrong,500,53.4,47.2,-6.2,30.6,34.46,26.18,-0.682,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth5_correct,500,53.4,57.8,4.4,33.2,26.97,40.34,-0.364,
llama31_it,43,primevul_rq2b.jsonl,rq2b_auth5_wrong,500,53.4,47.8,-5.6,30.0,33.33,26.18,-0.732,
llama31_it,43,primevul_rq2b.jsonl,ALL,5000,53.4,52.28,-1.12,30.64,29.74,31.67,-0.7782,0
