model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth1_correct,500,59.6,50.2,-9.4,46.6,46.98,46.04,0.848,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth1_wrong,500,59.6,52.2,-7.4,45.0,43.96,46.53,0.848,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth2_correct,500,59.6,57.0,-2.6,37.4,33.56,43.07,0.848,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth2_wrong,500,59.6,41.8,-17.8,44.2,52.01,32.67,0.844,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth3_correct,500,59.6,68.0,8.4,35.2,22.48,53.96,0.884,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth3_wrong,500,59.6,35.2,-24.4,44.0,57.38,24.26,0.88,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth4_correct,500,59.6,77.2,17.6,41.2,19.8,72.77,0.848,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth4_wrong,500,59.6,30.8,-28.8,48.4,64.77,24.26,0.844,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth5_correct,500,59.6,76.2,16.6,45.0,23.83,76.24,0.868,
qwen25_it,43,primevul_rq2b.jsonl,rq2b_auth5_wrong,500,59.6,25.8,-33.8,57.8,76.85,29.7,0.846,
qwen25_it,43,primevul_rq2b.jsonl,ALL,5000,59.6,51.44,-8.16,44.48,44.16,44.95,0.8558,0
